"","FECHA","UNIDADES","YEAR","DIA","MES","DIA_SEMANA","FESTIVIDAD"
"1",2012-01-01,0,2012,1,1,"domingo","a_nuevo"
"2",2012-01-02,188,2012,2,1,"lunes","dia_habil"
"3",2012-01-03,482,2012,3,1,"martes","dia_habil"
"4",2012-01-04,927,2012,4,1,"miercoles","dia_habil"
"5",2012-01-05,1159,2012,5,1,"jueves","dia_habil"
"6",2012-01-06,996,2012,6,1,"viernes","dia_habil"
"7",2012-01-07,243,2012,7,1,"sabado","dia_habil"
"8",2012-01-08,0,2012,8,1,"domingo","dia_habil"
"9",2012-01-09,0,2012,9,1,"lunes","festivo"
"10",2012-01-10,697,2012,10,1,"martes","dia_habil"
"11",2012-01-11,956,2012,11,1,"miercoles","dia_habil"
"12",2012-01-12,1001,2012,12,1,"jueves","dia_habil"
"13",2012-01-13,1170,2012,13,1,"viernes","dia_habil"
"14",2012-01-14,372,2012,14,1,"sabado","dia_habil"
"15",2012-01-15,1,2012,15,1,"domingo","dia_habil"
"16",2012-01-16,805,2012,16,1,"lunes","dia_habil"
"17",2012-01-17,913,2012,17,1,"martes","dia_habil"
"18",2012-01-18,1049,2012,18,1,"miercoles","dia_habil"
"19",2012-01-19,979,2012,19,1,"jueves","dia_habil"
"20",2012-01-20,1018,2012,20,1,"viernes","dia_habil"
"21",2012-01-21,312,2012,21,1,"sabado","dia_habil"
"22",2012-01-22,0,2012,22,1,"domingo","dia_habil"
"23",2012-01-23,802,2012,23,1,"lunes","dia_habil"
"24",2012-01-24,893,2012,24,1,"martes","dia_habil"
"25",2012-01-25,1030,2012,25,1,"miercoles","dia_habil"
"26",2012-01-26,1108,2012,26,1,"jueves","dia_habil"
"27",2012-01-27,1049,2012,27,1,"viernes","dia_habil"
"28",2012-01-28,369,2012,28,1,"sabado","dia_habil"
"29",2012-01-29,2,2012,29,1,"domingo","dia_habil"
"30",2012-01-30,823,2012,30,1,"lunes","dia_habil"
"31",2012-01-31,1046,2012,31,1,"martes","dia_habil"
"32",2012-02-01,1142,2012,1,2,"miercoles","dia_habil"
"33",2012-02-02,1185,2012,2,2,"jueves","dia_habil"
"34",2012-02-03,1295,2012,3,2,"viernes","dia_habil"
"35",2012-02-04,344,2012,4,2,"sabado","dia_habil"
"36",2012-02-05,0,2012,5,2,"domingo","dia_habil"
"37",2012-02-06,853,2012,6,2,"lunes","dia_habil"
"38",2012-02-07,1170,2012,7,2,"martes","dia_habil"
"39",2012-02-08,1177,2012,8,2,"miercoles","dia_habil"
"40",2012-02-09,1182,2012,9,2,"jueves","dia_habil"
"41",2012-02-10,1191,2012,10,2,"viernes","dia_habil"
"42",2012-02-11,411,2012,11,2,"sabado","dia_habil"
"43",2012-02-12,1,2012,12,2,"domingo","dia_habil"
"44",2012-02-13,881,2012,13,2,"lunes","dia_habil"
"45",2012-02-14,1120,2012,14,2,"martes","dia_habil"
"46",2012-02-15,1126,2012,15,2,"miercoles","dia_habil"
"47",2012-02-16,1098,2012,16,2,"jueves","dia_habil"
"48",2012-02-17,1243,2012,17,2,"viernes","dia_habil"
"49",2012-02-18,309,2012,18,2,"sabado","dia_habil"
"50",2012-02-19,0,2012,19,2,"domingo","dia_habil"
"51",2012-02-20,733,2012,20,2,"lunes","dia_habil"
"52",2012-02-21,994,2012,21,2,"martes","dia_habil"
"53",2012-02-22,1186,2012,22,2,"miercoles","dia_habil"
"54",2012-02-23,1247,2012,23,2,"jueves","dia_habil"
"55",2012-02-24,1315,2012,24,2,"viernes","dia_habil"
"56",2012-02-25,386,2012,25,2,"sabado","dia_habil"
"57",2012-02-26,0,2012,26,2,"domingo","dia_habil"
"58",2012-02-27,855,2012,27,2,"lunes","dia_habil"
"59",2012-02-28,1239,2012,28,2,"martes","dia_habil"
"60",2012-02-29,1157,2012,29,2,"miercoles","dia_habil"
