FECHA;YEAR;DIA;MES;DIA_SEMANA;FESTIVIDAD
1/01/2012;2012;1;1;domingo;a_nuevo
2/01/2012;2012;2;1;lunes;dia_habil
3/01/2012;2012;3;1;martes;dia_habil
4/01/2012;2012;4;1;miercoles;dia_habil
5/01/2012;2012;5;1;jueves;dia_habil
6/01/2012;2012;6;1;viernes;dia_habil
7/01/2012;2012;7;1;sabado;dia_habil
8/01/2012;2012;8;1;domingo;dia_habil
9/01/2012;2012;9;1;lunes;festivo
10/01/2012;2012;10;1;martes;dia_habil
11/01/2012;2012;11;1;miercoles;dia_habil
12/01/2012;2012;12;1;jueves;dia_habil
13/01/2012;2012;13;1;viernes;dia_habil
14/01/2012;2012;14;1;sabado;dia_habil
15/01/2012;2012;15;1;domingo;dia_habil
16/01/2012;2012;16;1;lunes;dia_habil
17/01/2012;2012;17;1;martes;dia_habil
18/01/2012;2012;18;1;miercoles;dia_habil
19/01/2012;2012;19;1;jueves;dia_habil
20/01/2012;2012;20;1;viernes;dia_habil
21/01/2012;2012;21;1;sabado;dia_habil
22/01/2012;2012;22;1;domingo;dia_habil
23/01/2012;2012;23;1;lunes;dia_habil
24/01/2012;2012;24;1;martes;dia_habil
25/01/2012;2012;25;1;miercoles;dia_habil
26/01/2012;2012;26;1;jueves;dia_habil
27/01/2012;2012;27;1;viernes;dia_habil
28/01/2012;2012;28;1;sabado;dia_habil
29/01/2012;2012;29;1;domingo;dia_habil
30/01/2012;2012;30;1;lunes;dia_habil
31/01/2012;2012;31;1;martes;dia_habil
1/02/2012;2012;1;2;miercoles;dia_habil
2/02/2012;2012;2;2;jueves;dia_habil
3/02/2012;2012;3;2;viernes;dia_habil
4/02/2012;2012;4;2;sabado;dia_habil
5/02/2012;2012;5;2;domingo;dia_habil
6/02/2012;2012;6;2;lunes;dia_habil
7/02/2012;2012;7;2;martes;dia_habil
8/02/2012;2012;8;2;miercoles;dia_habil
9/02/2012;2012;9;2;jueves;dia_habil
10/02/2012;2012;10;2;viernes;dia_habil
11/02/2012;2012;11;2;sabado;dia_habil
12/02/2012;2012;12;2;domingo;dia_habil
13/02/2012;2012;13;2;lunes;dia_habil
14/02/2012;2012;14;2;martes;dia_habil
15/02/2012;2012;15;2;miercoles;dia_habil
16/02/2012;2012;16;2;jueves;dia_habil
17/02/2012;2012;17;2;viernes;dia_habil
18/02/2012;2012;18;2;sabado;dia_habil
19/02/2012;2012;19;2;domingo;dia_habil
20/02/2012;2012;20;2;lunes;dia_habil
21/02/2012;2012;21;2;martes;dia_habil
22/02/2012;2012;22;2;miercoles;dia_habil
23/02/2012;2012;23;2;jueves;dia_habil
24/02/2012;2012;24;2;viernes;dia_habil
25/02/2012;2012;25;2;sabado;dia_habil
26/02/2012;2012;26;2;domingo;dia_habil
27/02/2012;2012;27;2;lunes;dia_habil
28/02/2012;2012;28;2;martes;dia_habil
