"","FECHA","Nro_Vehiculos","NRO_TOTAL_VEHICULOS"
"1",2012-01-01,0,0
"2",2012-01-02,656,656
"3",2012-01-03,828,828
"4",2012-01-04,949,949
"5",2012-01-05,972,972
"6",2012-01-06,1012,1012
"7",2012-01-07,300,300
"8",2012-01-08,3,3
"9",2012-01-09,41,41
"10",2012-01-10,911,911
"11",2012-01-11,1044,1044
"12",2012-01-12,1069,1069
"13",2012-01-13,1113,1113
"14",2012-01-14,329,329
"15",2012-01-15,3,3
"16",2012-01-16,793,793
"17",2012-01-17,1001,1001
"18",2012-01-18,1147,1147
"19",2012-01-19,1175,1175
"20",2012-01-20,1223,1223
"21",2012-01-21,362,362
"22",2012-01-22,3,3
"23",2012-01-23,871,871
"24",2012-01-24,1100,1100
"25",2012-01-25,1261,1261
"26",2012-01-26,1291,1291
"27",2012-01-27,1344,1344
"28",2012-01-28,398,398
"29",2012-01-29,4,4
"30",2012-01-30,958,958
"31",2012-01-31,1209,1209
"32",2012-02-01,912,912
"33",2012-02-02,934,934
"34",2012-02-03,973,973
"35",2012-02-04,288,288
"36",2012-02-05,3,3
"37",2012-02-06,693,693
"38",2012-02-07,875,875
"39",2012-02-08,1003,1003
"40",2012-02-09,1027,1027
"41",2012-02-10,1069,1069
"42",2012-02-11,317,317
"43",2012-02-12,3,3
"44",2012-02-13,762,762
"45",2012-02-14,962,962
"46",2012-02-15,1102,1102
"47",2012-02-16,1129,1129
"48",2012-02-17,1175,1175
"49",2012-02-18,348,348
"50",2012-02-19,3,3
"51",2012-02-20,837,837
"52",2012-02-21,1057,1057
"53",2012-02-22,1212,1212
"54",2012-02-23,1241,1241
"55",2012-02-24,1292,1292
"56",2012-02-25,383,383
"57",2012-02-26,4,4
"58",2012-02-27,920,920
"59",2012-02-28,1162,1162
"60",2012-02-29,1332,1332
"61",2012-03-01,1009,1009
"62",2012-03-02,1050,1050
"63",2012-03-03,311,311
"64",2012-03-04,3,3
"65",2012-03-05,748,748
"66",2012-03-06,945,945
"67",2012-03-07,1083,1083
"68",2012-03-08,1109,1109
"69",2012-03-09,1154,1154
"70",2012-03-10,342,342
"71",2012-03-11,3,3
"72",2012-03-12,822,822
"73",2012-03-13,1038,1038
"74",2012-03-14,1190,1190
"75",2012-03-15,1219,1219
"76",2012-03-16,1269,1269
"77",2012-03-17,376,376
"78",2012-03-18,4,4
"79",2012-03-19,51,51
"80",2012-03-20,1141,1141
"81",2012-03-21,1308,1308
"82",2012-03-22,1340,1340
"83",2012-03-23,1395,1395
"84",2012-03-24,413,413
"85",2012-03-25,4,4
"86",2012-03-26,994,994
"87",2012-03-27,1255,1255
"88",2012-03-28,1438,1438
"89",2012-03-29,1472,1472
"90",2012-03-30,1533,1533
"91",2012-03-31,454,454
"92",2012-04-01,1,1
"93",2012-04-02,362,362
"94",2012-04-03,457,457
"95",2012-04-04,524,524
"96",2012-04-05,537,537
"97",2012-04-06,559,559
"98",2012-04-07,165,165
"99",2012-04-08,3,3
"100",2012-04-09,790,790
"101",2012-04-10,998,998
"102",2012-04-11,1144,1144
"103",2012-04-12,1171,1171
"104",2012-04-13,1219,1219
"105",2012-04-14,361,361
"106",2012-04-15,3,3
"107",2012-04-16,869,869
"108",2012-04-17,1097,1097
"109",2012-04-18,1257,1257
"110",2012-04-19,1287,1287
"111",2012-04-20,1340,1340
"112",2012-04-21,397,397
"113",2012-04-22,4,4
"114",2012-04-23,955,955
"115",2012-04-24,1206,1206
"116",2012-04-25,1382,1382
"117",2012-04-26,1415,1415
"118",2012-04-27,1473,1473
"119",2012-04-28,436,436
"120",2012-04-29,4,4
"121",2012-04-30,1049,1049
"122",2012-05-01,52,52
"123",2012-05-02,1060,1060
"124",2012-05-03,1085,1085
"125",2012-05-04,1130,1130
"126",2012-05-05,334,334
"127",2012-05-06,3,3
