Barrios;Codigo;Con_heridos;Con_muertos;Solo_danos;kmm.cluster;Nivel_Accidentalidad
Aguas Frias;7002;48;0;16;2;Accidentalidad baja
Aldea Pablo VI;109;36;1;6;2;Accidentalidad baja
Alejandria;1416;102;1;265;2;Accidentalidad baja
Alejandro Echavarria;905;427;2;168;4;Accidentalidad media-alta
Alfonso Lopez;514;531;3;213;4;Accidentalidad media-alta
Altamira;708;328;0;184;4;Accidentalidad media-alta
Altavista;1613;155;1;98;2;Accidentalidad baja
Altavista Sector Central;7001;141;2;32;2;Accidentalidad baja
Altos del Poblado;1408;110;0;107;2;Accidentalidad baja
Andalucia;206;115;2;45;2;Accidentalidad baja
Antonio Narino;1318;141;1;34;2;Accidentalidad baja
Aranjuez;413;191;2;75;2;Accidentalidad baja
Area de Expansion Altos de Calasanz;6097;38;1;31;2;Accidentalidad baja
Area De Expansion Belen Rincon;7097;0;0;1;2;Accidentalidad baja
Area de Expansion Pajarito;6098;417;3;117;4;Accidentalidad media-alta
Area de Expansion San Antonio de Prado;8098;27;2;11;2;Accidentalidad baja
Asomadera No. 1;914;235;2;267;4;Accidentalidad media-alta
Asomadera No. 2;915;120;0;202;2;Accidentalidad baja
Asomadera No. 3;916;35;1;37;2;Accidentalidad baja
Astorga;1420;66;0;149;2;Accidentalidad baja
Aures No. 2;712;341;0;79;2;Accidentalidad baja
Aures No.1;713;292;1;62;2;Accidentalidad baja
B. Cerro El Volador;702;79;1;39;2;Accidentalidad baja
Barrio Caicedo;906;394;3;233;4;Accidentalidad media-alta
Barrio Colombia;1401;299;1;401;4;Accidentalidad media-alta
Barrio Colon;1013;1022;8;1565;3;Accidentalidad alta
Barrio Cristobal;1210;65;1;45;2;Accidentalidad baja
Barrio de Jesus;902;140;0;72;2;Accidentalidad baja
Batallon Girardot;805;5;0;2;2;Accidentalidad baja
Belalcazar;508;220;0;184;2;Accidentalidad baja
Belen;1603;822;5;1014;1;Accidentalidad moderada
Belencito;1311;87;1;31;2;Accidentalidad baja
Bello Horizonte;714;149;2;62;2;Accidentalidad baja
Berlin;401;414;4;173;4;Accidentalidad media-alta
Bermejal-Los Alamos;404;111;1;47;2;Accidentalidad baja
Betania;1312;66;1;20;2;Accidentalidad baja
Blanquizal;1302;30;1;15;2;Accidentalidad baja
Bolivariana;1107;172;3;216;4;Accidentalidad media-alta
Bombona No. 1;1015;403;4;463;4;Accidentalidad media-alta
Bombona No. 2;903;156;0;88;2;Accidentalidad baja
Boqueron;6016;0;0;1;2;Accidentalidad baja
Bosques de San Pablo;707;106;0;94;2;Accidentalidad baja
Boston;1016;879;8;825;1;Accidentalidad moderada
Boyaca;505;280;1;143;4;Accidentalidad media-alta
Brasilia;414;274;2;92;4;Accidentalidad media-alta
Buenos Aires;907;452;0;277;4;Accidentalidad media-alta
Buga Patio Bonito;7084;26;0;11;2;Accidentalidad baja
Cabecera San Antonio de Prado;8000;1399;24;938;3;Accidentalidad alta
Cabecera Urbana San Cristobal;6000;306;4;111;4;Accidentalidad media-alta
Calasanz;1202;264;1;254;4;Accidentalidad media-alta
Calasanz Parte Alta;1213;170;1;147;2;Accidentalidad baja
Calle Nueva;1011;454;5;779;1;Accidentalidad moderada
Campo Alegre;1208;274;1;112;2;Accidentalidad baja
Campo Amor;1507;1355;18;1432;3;Accidentalidad alta
